player,pos,team,status,injury,depth
Jerome Ford,RB,CLE,,,3
Robert Tonyan,TE,KC,,,3
Ollie Gordon II,RB,MIA,,,3
Blake Whiteheart,TE,CLE,,,2
Taylor Heinicke,QB,LAC,,,2
Xavier Weaver,WR,ARI,,,4
Andy Isabella,WR,SF,,,12
Giovanni Ricci,TE,DET,,,3
Joaquin Davis,WR,MIN,,,7
Audric Estime,RB,NO,,,5
Jaylin Lane,WR,WAS,,,4
Theo Johnson,TE,NYG,,,2
Kyrese Rowan,WR,DEN,,,10
Traeshon Holden,WR,DAL,,,7
Eric Saubert,TE,SEA,,,3
Devin Duvernay,WR,CHI,,,4
Elic Ayomanor,WR,TEN,,,3
Carter Bradley,QB,JAX,,,3
Jake Browning,QB,TB,,,2
Kawaan Baker,WR,GB,,,10
Skyy Moore,WR,GB,,,7
Gavin Bartholomew,TE,MIN,,,3
Jawhar Jordan,RB,HOU,,,3
Foster Moreau,TE,HOU,,,4
Robbie Chosen,WR,WAS,,,6
E.J. Jenkins,TE,PHI,,,4
Will Shipley,RB,PHI,,,3
Deebo Samuel,WR,WAS,,,2
Frank Gore,RB,BUF,,,4
Emari Demercado,RB,KC,,,2
Tua Tagovailoa,QB,ATL,,,2
Will Grier,QB,DAL,,,4
Bailey Zappe,QB,NYJ,,,4
Malachi Corley,WR,CLE,,,4
Justin Watson,WR,HOU,,,6
Julius Chestnut,RB,TEN,,,4
Rushawn Baker,RB,NYG,,,7
Rondale Moore,WR,MIN,,,7
DeVonta Smith,WR,PHI,,,2
Hollywood Brown,WR,KC,,,3
Keleki Latu,TE,BUF,,,4
Jackson Hawes,TE,BUF,,,3
Nick Mullens,QB,JAX,,,2
Malik Knowles,WR,SF,,,14
Dresser Winn,QB,LA,,,4
Trayveon Williams,RB,CLE,,,5
David Njoku,TE,CLE,,,2
Kevin Austin Jr.,WR,NO,,,5
Xavier Legette,WR,CAR,,,3
Seth Williams,WR,LV,,,13
Colton Dowell,WR,SF,,,7
Emeka Egbuka,WR,TB,,,2
Isaiah Hodgins,WR,NYG,,,5
Tim Jones,WR,JAX,,,5
Devin Singletary,RB,NYG,,,3
Rachaad White,RB,WAS,,,2
Messiah Swinson,TE,GB,,,5
Tyler Conklin,TE,DET,,,3
Luke Musgrave,TE,GB,,,2
David Martin-Robinson,TE,TEN,,,4
Tylan Wallace,WR,BAL,,,5
Tucker Fisk,TE,LAC,,,3
Rico Dowdle,RB,PIT,,,2
Tom Kennedy,WR,DET,,,7
Dorian Thompson-Robinson,QB,PHI,,,3
Tyler Mabry,TE,CAR,,,7
Jelani Woods,TE,NYJ,,,3
Tanner Conner,TE,NYG,,,5
Isaac Guerendo,RB,SF,,,3
Cade McDonald,WR,CLE,,,8
Dare Ogunbowale,RB,HOU,,,5
Drake Stoops,WR,LA,,,10
Taysom Hill,TE,NO,,,4
Keaton Mitchell,RB,LAC,,,3
Anthony Gould,WR,IND,,,4
Ty Johnson,RB,BUF,,,2
